Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
1987;5;Fußball;Nachwuchsleistungszentrum;männlich;17;63;177;42.2;43.5;95;1.78;;4.19;1.51
1988;5;Fußball;Nachwuchsleistungszentrum;männlich;17;58.8;164;39.9;41.9;95;1.75;;4.35;1.62
1990;5;Fußball;Nachwuchsleistungszentrum;männlich;17;64.9;184;41.1;37.7;85;1.83;;4.27;1.31
1991;5;Fußball;Nachwuchsleistungszentrum;männlich;17;68;185;38.1;39.9;90;1.77;;4.17;1.32
1992;5;Fußball;Nachwuchsleistungszentrum;männlich;17;59.3;169;39.5;39.5;75;1.79;;4.2;1.26
1993;5;Fußball;Nachwuchsleistungszentrum;männlich;17;67.7;178;45.3;46.9;90;1.79;;4.22;1.33
1994;5;Fußball;Nachwuchsleistungszentrum;männlich;17;56;167;39.5;40.2;85;1.78;;4.15;1.52
1995;5;Fußball;Nachwuchsleistungszentrum;männlich;17;68.4;176;42.6;43.1;95;1.66;;4.01;1.39
1996;5;Fußball;Nachwuchsleistungszentrum;männlich;17;81;189;31.7;33.3;65;1.85;;4.52;0.8
1997;5;Fußball;Nachwuchsleistungszentrum;männlich;17;80;187;35.6;36.6;95;1.7;;4.16;1.19
1998;5;Fußball;Nachwuchsleistungszentrum;männlich;17;57.5;176;34.3;35.8;70;1.69;;4.09;1.22
1999;5;Fußball;Nachwuchsleistungszentrum;männlich;17;81;189;33.5;34.1;80;1.75;;4.29;0.99
2000;5;Fußball;Nachwuchsleistungszentrum;männlich;17;82;186;34.4;39.5;110;1.77;;4.19;1.34
2001;5;Fußball;Nachwuchsleistungszentrum;männlich;17;63.6;175;42.2;45.8;100;1.68;;4.02;1.57
2002;5;Fußball;Nachwuchsleistungszentrum;männlich;17;62.3;172;37;38.3;90;1.66;;4.07;1.44
